,0.1,0.3,0.5,0.7,0.9
1-MeanDriftVar0.01,0.7247843461499179,0.7957924271124266,0.8536923504882334,0.8948287493967266,0.9154660634668286
2-MeanDriftVar0.05,0.7085437442262712,0.8181328410833885,0.8762317168339171,0.8891569382281259,0.9116128546580312
3-MeanDriftVar0.25,0.7180517063830008,0.6995904073409452,0.7216819488324584,0.7169407361982484,0.6845600009789188
4-VarDrift,0.6502536601974803,0.6317262512768131,0.6436454431960051,0.6361548064918852,0.643470661672909
5-MeanVarDriftAll,0.7608472285756624,0.7624901959480799,0.7696672741239042,0.7568305185142647,0.7430095650236791
6-MeanVarDrift,0.7236694400346829,0.7385680050642068,0.7157180851063829,0.7050438596491229,0.6987499999999999
7-RandomRBF,0.2539448807299389,0.4054019236822265,0.4793470986618768,0.494977226510591,0.4688606526948129
8-Merged Stream,0.5665517716795423,0.5371445849747737,0.5345857760714046,0.5298069418977958,0.519654180130485
R1-(F-)MNIST,0.5791087664408561,0.5525961904871141,0.5391441459212792,0.5187572336238292,0.5085555520213054
Mean,0.6317506160463726,0.660160314107775,0.6815237599150512,0.68249966783451,0.6771043922941078
Median,0.6793987022118757,0.6798753607243602,0.6986209225107171,0.6937717637418164,0.6808321966365133
