,0.1,0.3,0.5,0.7,0.9
1-MeanDriftVar0.01,0.8158450411738425,0.916223244838968,0.937792542519558,0.94553147967858,0.9501317062907636
2-MeanDriftVar0.05,0.8307696350630038,0.8849659435933548,0.8714357859680609,0.8446961573040802,0.8404594635592293
3-MeanDriftVar0.25,0.6378977677545326,0.5788072149224074,0.5269089546986502,0.4954003684687178,0.4652302307787539
4-VarDrift,0.6436704119850187,0.6310112359550561,0.6325343320848941,0.6318352059925094,0.6466666666666667
5-MeanVarDriftAll,0.7816154494978445,0.8454815176753041,0.8857758281071106,0.8774857981294735,0.8781013652590641
6-MeanVarDrift,0.8082086479066575,0.7838659104865803,0.7780433238208768,0.7473684210526313,0.7223292273236281
7-RandomRBF,0.27881563863097497,0.4319606388174059,0.5068812769694887,0.5114285043382292,0.50392168488449
8-Merged Stream,0.5760570875665214,0.5238854044155117,0.527466251298027,0.4845000881678716,0.42758184776317404
R1-(F-)MNIST,0.6148079195101275,0.502803200704364,0.4782430466446052,0.4638477789499376,0.4764886943526257
Mean,0.6652986221209471,0.6776671457121058,0.6827868157901413,0.666899311342448,0.6567678763198217
Median,0.6544845170529829,0.6543391908335809,0.6576605739375176,0.6493672586674787,0.6517172714932442
