# widthsADWIN, reconstructionErrorTime, driftDecisions, accVector
1,0.331687539816,0,1
2,0.608012437820,0,1
3,0.307533085346,0,1
4,0.205158144236,0,0
5,0.317109525204,0,1
6,0.213300019503,0,1
7,0.441509962082,0,1
8,0.277019143105,0,1
9,0.227429702878,0,1
10,0.274498403072,0,1
11,0.230882421136,0,1
12,0.358081847429,0,1
13,0.238861247897,0,1
14,0.362607628107,0,1
15,0.196038201451,0,1
16,0.172309428453,0,1
17,0.250240027905,0,1
18,0.297343909740,0,1
19,0.324378848076,0,1
20,0.225711822510,0,1
21,0.188490077853,0,1
22,0.535419881344,0,1
23,0.452441662550,0,1
24,0.265081614256,0,1
25,1.049935936928,0,1
26,0.208882123232,0,1
27,0.250040650368,0,1
28,0.181972101331,0,0
29,0.229809060693,0,1
30,0.285927534103,0,1
31,0.268792778254,0,0
32,0.492957830429,0,1
33,0.304294764996,0,1
34,0.246916085482,0,1
35,0.194506391883,0,1
36,0.333489269018,0,1
37,0.808134555817,0,1
38,0.453041613102,0,1
39,0.681331992149,0,1
40,0.474343776703,0,1
41,0.334994196892,0,1
42,0.174354523420,0,0
43,0.344354957342,0,1
44,0.275300562382,0,0
45,0.359647393227,0,1
46,0.194223448634,0,1
47,0.192771911621,0,1
48,0.212887093425,0,1
49,0.267069160938,0,1
50,0.216916501522,0,1
51,0.460829794407,0,1
52,0.354620605707,0,1
53,0.209335938096,0,0
54,0.664829909801,0,0
55,0.420148015022,0,1
56,0.398117601871,0,1
57,0.396655648947,0,1
58,0.271495670080,0,1
59,0.620021939278,0,1
60,0.249749094248,0,1
61,0.178084626794,0,1
62,0.198026373982,0,0
63,0.366069197655,0,1
64,0.172009319067,0,1
65,0.359522879124,0,1
66,0.197789579630,0,1
67,0.255457729101,0,1
68,0.230755776167,0,1
69,0.212799921632,0,1
70,0.354962259531,0,1
71,0.152092084289,0,0
72,0.364222705364,0,1
73,0.392500072718,0,1
74,0.244627013803,0,1
75,0.476275891066,0,1
76,0.401256740093,0,1
77,0.439241915941,0,1
78,0.220904394984,0,1
79,0.356047511101,0,1
80,0.867911219597,0,1
81,0.481830596924,0,1
82,0.249672979116,0,1
83,0.246830672026,0,1
84,0.413510948420,0,1
85,0.257027566433,0,1
86,0.557062625885,0,1
87,0.316983580589,0,1
88,0.464514583349,0,1
89,0.348390370607,0,1
90,0.489678829908,0,1
91,0.274878233671,0,1
92,0.226879864931,0,1
93,0.193078652024,0,1
94,0.778676211834,0,1
95,0.145642980933,0,1
96,0.333965063095,0,1
97,0.247052609921,0,1
98,0.427736520767,0,1
99,0.260642588139,0,1
100,0.276109606028,0,1
101,0.297307848930,0,1
102,0.270118653774,0,1
103,0.201418414712,0,1
104,0.354286789894,0,1
105,0.275927722454,0,1
106,0.218385055661,0,1
107,0.201892480254,0,1
108,0.613042414188,0,1
109,0.283383518457,0,1
110,0.152013897896,0,1
111,0.327499210835,0,1
112,0.497891306877,0,1
113,0.154353827238,0,0
114,0.216084808111,0,1
115,0.546399831772,0,1
116,1.052109360695,0,1
117,0.406655967236,0,1
118,0.340788453817,0,1
119,0.381676644087,0,1
120,0.261536955833,0,1
121,0.250993132591,0,1
122,0.285297095776,0,1
123,0.360491901636,0,1
124,0.309887200594,0,1
125,0.602069139481,0,1
126,0.214562401175,0,1
127,0.250818341970,0,1
128,0.337504148483,0,0
129,0.323303818703,0,1
130,0.355936944485,0,1
131,0.300425231457,0,0
132,0.348633736372,0,1
133,0.278146415949,0,1
134,0.369189381599,0,1
135,0.314945578575,0,1
136,0.308139175177,0,1
137,0.283872336149,0,1
138,0.344491392374,0,1
139,0.120054878294,0,1
140,0.405846089125,0,1
141,0.293087542057,0,0
142,0.273198813200,0,1
143,0.116946429014,0,1
144,0.299848645926,0,1
145,0.629299283028,0,1
146,0.341072678566,0,1
147,0.255695104599,0,1
148,0.405533194542,0,1
149,0.319633215666,0,1
150,0.319948345423,0,1
151,0.185987070203,0,1
152,0.461374223232,0,1
153,0.256833314896,0,1
154,0.376611709595,0,1
155,0.129099726677,0,0
156,0.229484304786,0,1
157,0.138406425714,0,1
158,0.358671605587,0,1
159,0.221765011549,0,0
160,0.132117539644,0,1
161,0.469262152910,0,1
162,0.254769831896,0,1
163,0.264672815800,0,1
164,0.288553297520,0,1
165,0.156998515129,0,1
166,0.115594238043,0,1
167,0.366543829441,0,1
168,0.150004073977,0,0
169,0.222042918205,0,1
170,0.321077376604,0,1
171,0.354217976332,0,1
172,0.245753705502,0,1
173,0.334097087383,0,1
174,0.694610834122,0,1
175,0.186784133315,0,1
176,0.413814902306,0,1
177,0.372267037630,0,1
178,0.586542785168,0,1
179,0.318709492683,0,1
180,0.333061516285,0,1
181,1.248124361038,0,1
182,0.331378191710,0,1
183,0.304197281599,0,1
184,0.678681075573,0,1
185,0.234744876623,0,1
186,0.241405948997,0,1
187,0.169617965817,0,1
188,0.286231398582,0,1
189,0.360543221235,0,1
190,0.183982744813,0,1
191,0.332382082939,0,1
192,0.537062346935,0,1
193,0.168448030949,0,0
194,0.585333704948,0,1
195,0.236174345016,0,0
196,0.255936294794,0,1
197,0.201608061790,0,1
198,0.206970408559,0,1
199,0.172595888376,0,0
200,0.518697977066,0,1
201,0.422656625509,0,1
202,0.266281783581,0,1
203,0.278206765652,0,1
204,0.362732976675,0,1
205,0.352146506310,0,1
206,0.362632125616,0,1
207,0.473771512508,0,0
208,0.173269405961,0,1
209,0.377935260534,0,1
210,0.542395830154,0,1
211,0.886700391769,0,1
212,0.311788737774,0,1
213,0.571232855320,0,1
214,0.255405664444,0,1
215,0.294884443283,0,0
216,0.252982705832,0,0
217,0.168469652534,0,1
218,0.256802767515,0,1
219,0.179859176278,0,1
220,0.221193313599,0,1
221,0.584777832031,0,1
222,0.359522312880,0,1
223,0.253098666668,0,1
224,0.202147349715,0,1
225,0.244091108441,0,1
226,0.282281130552,0,1
227,0.354268819094,0,1
228,0.276025742292,0,1
229,0.316461384296,0,1
230,0.602688491344,0,1
231,0.337695360184,0,1
232,0.292700737715,0,1
233,0.255500853062,0,1
234,0.315609216690,0,1
235,0.366162002087,0,1
236,0.467982918024,0,1
237,0.400787353516,0,1
238,0.256844818592,0,1
239,0.411118358374,0,1
240,0.317394703627,0,1
241,0.203039050102,0,1
242,0.228961139917,0,1
243,0.223496124148,0,1
244,0.179813444614,0,1
245,0.300323337317,0,1
246,0.206564798951,0,1
247,0.382670164108,0,1
248,0.274199038744,0,1
249,0.659923374653,0,1
